road;dtv_weekdays;dtv_weekend;dtv
Neutor;33 882,66;26 314,41;31 766,8
Wolbecker Straße;8 104,77;6 753,396;7 721,67
Hüfferstraße;5 887,046;4 234,929;5 423,581
Hammer Straße;9 263,401;6 952,85;8 609,472
Promenade / Eisenbahnstraße;8 710,088;6 675,891;8 125,256
Gartenstraße;10 735;7 069,209;9 695,788
Warendorfer Straße;13 466,85;9 835,374;12 437,37
Hafenstraße;31 706,43;24 447,55;29 648,62
Weseler Straße / Kolde-Ring;22 494,05;17 665,33;21 150,58
Hansaring / Albersloher Weg;36 920,32;30 463,04;35 075,39